,level,strategy_and_architecture,change_and_transformation,development_and_implementation,delivery_and_operation,people_and_skills,relationships_and_engagement,level_name,rate_card_file,location_type
47,6,351,351,351,351,277,466,Initiate or influence,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908,offshore
48,7,466,466,466,466,414,466,Set strategy or inspire,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908,offshore
49,8,488,487,487,487,506,810,Follow,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908,onshore
50,9,488,487,487,488,506,810,Assist,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908,onshore
51,1,488,488,488,489,506,810,Apply,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908,onshore
52,1,502,502,502,502,506,810,Enable,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908,onshore
53,1,586,586,586,586,564,810,Ensure or advise,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908,onshore
54,1,586,586,586,586,564,810,Initiate or influence,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908,onshore
55,1,810,810,810,810,718,810,Set strategy or inspire,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908,onshore
56,1,732,666,519,519,666,666,Follow,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027,onshore
57,2,732,666,519,519,666,666,Assist,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027,onshore
58,3,732,666,519,519,666,666,Apply,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027,onshore
59,4,832,732,586,586,732,732,Enable,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027,onshore
60,5,999,832,732,666,832,832,Ensure or advise,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027,onshore
61,6,1179,999,832,732,999,999,Initiate or influence,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027,onshore
62,7,1332,1179,999,832,1179,1179,Set strategy or inspire,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027,onshore
63,1,254,225,152,152,225,225,Follow,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027,offshore
64,2,254,225,167,167,225,225,Assist,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027,offshore
65,3,254,225,189,189,225,225,Apply,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027,offshore
66,4,276,254,203,203,254,254,Enable,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027,offshore
67,5,314,276,254,225,276,276,Ensure or advise,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027,offshore
68,6,373,314,276,254,314,314,Initiate or influence,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027,offshore
69,7,481,373,314,276,373,373,Set strategy or inspire,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027,offshore
70,1,369,369,369,369,369,369,Follow,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752,onshore
71,2,369,369,369,369,369,369,Assist,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752,onshore
72,3,502,502,502,502,502,502,Apply,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752,onshore
73,4,508,508,507,507,507,508,Enable,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752,onshore
74,5,490,490,508,508,508,490,Ensure or advise,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752,onshore
75,6,609,609,490,490,490,609,Initiate or influence,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752,onshore
76,7,1167,1167,609,609,609,1167,Set strategy or inspire,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752,onshore
77,8,142,142,142,142,142,142,Follow,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752,offshore
78,9,142,142,142,142,142,142,Assist,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752,offshore
79,1,160,160,160,160,160,160,Apply,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752,offshore
80,1,242,242,213,213,213,242,Enable,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752,offshore
81,1,297,297,242,242,242,297,Ensure or advise,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752,offshore
82,1,360,360,297,297,297,360,Initiate or influence,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752,offshore
83,1,562,562,360,360,360,562,Set strategy or inspire,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752,offshore
84,1,615,576,512,614,672,672,Follow,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801,onshore
85,2,615,576,512,614,672,672,Assist,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801,onshore
86,3,615,576,512,614,672,672,Apply,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801,onshore
87,4,615,576,512,614,672,672,Enable,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801,onshore
88,5,615,608,563,614,672,672,Ensure or advise,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801,onshore
89,6,615,672,614,614,672,672,Initiate or influence,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801,onshore
90,7,800,870,672,800,800,800,Set strategy or inspire,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801,onshore
91,8,254,218,197,254,254,254,Follow,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801,offshore
92,9,254,218,197,254,254,254,Assist,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801,offshore
93,1,254,218,197,254,254,254,Apply,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801,offshore
94,1,254,218,197,254,254,254,Enable,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801,offshore
95,1,254,254,211,254,254,254,Ensure or advise,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801,offshore
96,1,254,282,253,254,254,254,Initiate or influence,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801,offshore
97,1,295,352,268,296,296,296,Set strategy or inspire,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801,offshore
98,1,513,513,513,513,513,513,Follow,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826,onshore
99,2,513,513,513,513,513,513,Assist,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826,onshore
100,3,513,513,513,513,513,513,Apply,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826,onshore
101,4,640,640,640,640,640,640,Enable,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826,onshore
102,5,689,689,689,689,689,689,Ensure or advise,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826,onshore
103,6,813,813,813,813,813,813,Initiate or influence,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826,onshore
104,7,995,995,995,995,995,995,Set strategy or inspire,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826,onshore
105,8,194,194,194,194,194,194,Follow,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826,offshore
106,9,194,194,194,194,194,194,Assist,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826,offshore
107,1,202,202,202,202,202,202,Apply,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826,offshore
108,1,214,214,214,214,214,214,Enable,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826,offshore
109,1,261,261,261,261,261,261,Ensure or advise,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826,offshore
110,1,290,290,290,290,290,290,Initiate or influence,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826,offshore
111,1,315,315,315,315,315,315,Set strategy or inspire,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826,offshore
112,1,513,513,513,513,513,513,Follow,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503,onshore
113,2,513,513,513,513,513,513,Assist,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503,onshore
114,3,513,513,513,513,513,513,Apply,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503,onshore
115,4,640,640,640,640,640,640,Enable,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503,onshore
116,5,689,689,689,689,689,689,Ensure or advise,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503,onshore
