  ,level ,strategy_and_architecture ,change_and_transformation ,development_and_implementation ,delivery_and_operation ,people_and_skills ,relationships_and_engagement ,level_name              ,rate_card_id                                                                 ,business_change ,solution_development_and_implementation ,service_management ,procurement_and_management_support ,client_interface
6 ,    7 ,800                       ,870                       ,672                            ,800                    ,800               ,800                          ,Set strategy or inspire ,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,552                       ,552                       ,429                            ,472                    ,456               ,528                          ,Follow                  ,InfosysLimited_255776948705856-sfia-rate-card-2022-05-17-1913                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,552                       ,552                       ,445                            ,490                    ,456               ,528                          ,Assist                  ,InfosysLimited_255776948705856-sfia-rate-card-2022-05-17-1913                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,552                       ,552                       ,480                            ,528                    ,456               ,528                          ,Apply                   ,InfosysLimited_255776948705856-sfia-rate-card-2022-05-17-1913                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,604                       ,604                       ,525                            ,578                    ,499               ,578                          ,Enable                  ,InfosysLimited_255776948705856-sfia-rate-card-2022-05-17-1913                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,776                       ,776                       ,675                            ,743                    ,641               ,743                          ,Ensure or advise        ,InfosysLimited_255776948705856-sfia-rate-card-2022-05-17-1913                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,874                       ,874                       ,760                            ,836                    ,722               ,836                          ,Initiate or influence   ,InfosysLimited_255776948705856-sfia-rate-card-2022-05-17-1913                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,990                       ,990                       ,875                            ,950                    ,831               ,950                          ,Set strategy or inspire ,InfosysLimited_255776948705856-sfia-rate-card-2022-05-17-1913                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,207                       ,207                       ,145                            ,160                    ,180               ,198                          ,Follow                  ,InfosysLimited_255776948705856-sfia-rate-card-2022-05-17-1913                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,207                       ,207                       ,159                            ,175                    ,180               ,198                          ,Assist                  ,InfosysLimited_255776948705856-sfia-rate-card-2022-05-17-1913                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,207                       ,207                       ,180                            ,198                    ,180               ,198                          ,Apply                   ,InfosysLimited_255776948705856-sfia-rate-card-2022-05-17-1913                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,222                       ,222                       ,193                            ,212                    ,193               ,212                          ,Enable                  ,InfosysLimited_255776948705856-sfia-rate-card-2022-05-17-1913                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,278                       ,278                       ,242                            ,266                    ,242               ,266                          ,Ensure or advise        ,InfosysLimited_255776948705856-sfia-rate-card-2022-05-17-1913                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,301                       ,301                       ,262                            ,288                    ,262               ,288                          ,Initiate or influence   ,InfosysLimited_255776948705856-sfia-rate-card-2022-05-17-1913                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,343                       ,343                       ,298                            ,328                    ,298               ,328                          ,Set strategy or inspire ,InfosysLimited_255776948705856-sfia-rate-card-2022-05-17-1913                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,609                       ,542                       ,567                            ,522                    ,609               ,806                          ,Follow                  ,InfosysLimited_286419558794525-sfia-rate-card-2022-05-18-0953                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,609                       ,542                       ,567                            ,522                    ,609               ,806                          ,Assist                  ,InfosysLimited_286419558794525-sfia-rate-card-2022-05-18-0953                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,609                       ,542                       ,567                            ,522                    ,609               ,806                          ,Apply                   ,InfosysLimited_286419558794525-sfia-rate-card-2022-05-18-0953                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,609                       ,542                       ,567                            ,522                    ,609               ,806                          ,Enable                  ,InfosysLimited_286419558794525-sfia-rate-card-2022-05-18-0953                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,609                       ,556                       ,581                            ,542                    ,609               ,806                          ,Ensure or advise        ,InfosysLimited_286419558794525-sfia-rate-card-2022-05-18-0953                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,609                       ,583                       ,609                            ,583                    ,609               ,806                          ,Initiate or influence   ,InfosysLimited_286419558794525-sfia-rate-card-2022-05-18-0953                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,843                       ,806                       ,843                            ,806                    ,806               ,806                          ,Set strategy or inspire ,InfosysLimited_286419558794525-sfia-rate-card-2022-05-18-0953                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,513                       ,513                       ,513                            ,513                    ,513               ,513                          ,Follow                  ,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,513                       ,513                       ,513                            ,513                    ,513               ,513                          ,Assist                  ,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,513                       ,513                       ,513                            ,513                    ,513               ,513                          ,Apply                   ,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,640                       ,640                       ,640                            ,640                    ,640               ,640                          ,Enable                  ,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,689                       ,689                       ,689                            ,689                    ,689               ,689                          ,Ensure or advise        ,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,813                       ,813                       ,813                            ,813                    ,813               ,813                          ,Initiate or influence   ,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,995                       ,995                       ,995                            ,995                    ,995               ,995                          ,Set strategy or inspire ,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,457                       ,457                       ,457                            ,457                    ,457               ,457                          ,Follow                  ,InfosysLimited_377511608980110-sfia-rate-card-2022-05-18-0921                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,482                       ,482                       ,482                            ,482                    ,482               ,482                          ,Assist                  ,InfosysLimited_377511608980110-sfia-rate-card-2022-05-18-0921                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,507                       ,507                       ,507                            ,507                    ,507               ,507                          ,Apply                   ,InfosysLimited_377511608980110-sfia-rate-card-2022-05-18-0921                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,558                       ,558                       ,558                            ,558                    ,558               ,558                          ,Enable                  ,InfosysLimited_377511608980110-sfia-rate-card-2022-05-18-0921                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,863                       ,863                       ,660                            ,660                    ,660               ,660                          ,Ensure or advise        ,InfosysLimited_377511608980110-sfia-rate-card-2022-05-18-0921                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,"1,035"                   ,"1,035"                   ,792                            ,792                    ,792               ,792                          ,Initiate or influence   ,InfosysLimited_377511608980110-sfia-rate-card-2022-05-18-0921                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,"1,370"                   ,"1,370"                   ,914                            ,914                    ,914               ,914                          ,Set strategy or inspire ,InfosysLimited_377511608980110-sfia-rate-card-2022-05-18-0921                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,513                       ,513                       ,513                            ,513                    ,513               ,513                          ,Follow                  ,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,513                       ,513                       ,513                            ,513                    ,513               ,513                          ,Assist                  ,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,513                       ,513                       ,513                            ,513                    ,513               ,513                          ,Apply                   ,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,640                       ,640                       ,640                            ,640                    ,640               ,640                          ,Enable                  ,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,689                       ,689                       ,689                            ,689                    ,689               ,689                          ,Ensure or advise        ,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,813                       ,813                       ,813                            ,813                    ,813               ,813                          ,Initiate or influence   ,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,1046                      ,1046                      ,1046                           ,1046                   ,1046              ,1046                         ,Set strategy or inspire ,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,552                       ,552                       ,429                            ,472                    ,456               ,528                          ,Follow                  ,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,552                       ,552                       ,445                            ,490                    ,456               ,528                          ,Assist                  ,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,552                       ,552                       ,480                            ,528                    ,456               ,528                          ,Apply                   ,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,604                       ,604                       ,525                            ,578                    ,499               ,578                          ,Enable                  ,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,776                       ,776                       ,675                            ,743                    ,641               ,743                          ,Ensure or advise        ,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,874                       ,874                       ,760                            ,836                    ,722               ,836                          ,Initiate or influence   ,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,990                       ,990                       ,875                            ,950                    ,831               ,950                          ,Set strategy or inspire ,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,207                       ,207                       ,145                            ,160                    ,180               ,180                          ,Follow                  ,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,207                       ,207                       ,159                            ,175                    ,180               ,180                          ,Assist                  ,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,207                       ,207                       ,180                            ,198                    ,180               ,198                          ,Apply                   ,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,222                       ,222                       ,193                            ,212                    ,193               ,212                          ,Enable                  ,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,278                       ,278                       ,242                            ,266                    ,242               ,266                          ,Ensure or advise        ,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,301                       ,301                       ,262                            ,288                    ,262               ,288                          ,Initiate or influence   ,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,343                       ,343                       ,298                            ,328                    ,298               ,328                          ,Set strategy or inspire ,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,234                       ,205                       ,205                            ,174                    ,236               ,466                          ,Follow                  ,InfosysLimited_490044526773638-sfia-rate-card-2022-05-18-0934                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,234                       ,205                       ,205                            ,205                    ,236               ,466                          ,Assist                  ,InfosysLimited_490044526773638-sfia-rate-card-2022-05-18-0934                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,234                       ,234                       ,234                            ,234                    ,236               ,466                          ,Apply                   ,InfosysLimited_490044526773638-sfia-rate-card-2022-05-18-0934                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,289                       ,289                       ,289                            ,289                    ,236               ,466                          ,Enable                  ,InfosysLimited_490044526773638-sfia-rate-card-2022-05-18-0934                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,351                       ,351                       ,351                            ,351                    ,277               ,466                          ,Ensure or advise        ,InfosysLimited_490044526773638-sfia-rate-card-2022-05-18-0934                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,351                       ,351                       ,351                            ,351                    ,277               ,466                          ,Initiate or influence   ,InfosysLimited_490044526773638-sfia-rate-card-2022-05-18-0934                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,466                       ,466                       ,466                            ,466                    ,414               ,466                          ,Set strategy or inspire ,InfosysLimited_490044526773638-sfia-rate-card-2022-05-18-0934                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,234                       ,205                       ,205                            ,174                    ,236               ,466                          ,Follow                  ,InfosysLimited_557146589679148-sfia-rate-card-2022-05-18-0950                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,234                       ,205                       ,205                            ,205                    ,236               ,466                          ,Assist                  ,InfosysLimited_557146589679148-sfia-rate-card-2022-05-18-0950                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,234                       ,234                       ,234                            ,234                    ,236               ,466                          ,Apply                   ,InfosysLimited_557146589679148-sfia-rate-card-2022-05-18-0950                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,289                       ,289                       ,289                            ,289                    ,236               ,466                          ,Enable                  ,InfosysLimited_557146589679148-sfia-rate-card-2022-05-18-0950                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,351                       ,351                       ,351                            ,351                    ,277               ,466                          ,Ensure or advise        ,InfosysLimited_557146589679148-sfia-rate-card-2022-05-18-0950                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,351                       ,351                       ,351                            ,351                    ,277               ,466                          ,Initiate or influence   ,InfosysLimited_557146589679148-sfia-rate-card-2022-05-18-0950                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,466                       ,466                       ,466                            ,466                    ,414               ,466                          ,Set strategy or inspire ,InfosysLimited_557146589679148-sfia-rate-card-2022-05-18-0950                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,NA                        ,NA                        ,300                            ,300                    ,NA                ,NA                           ,Follow                  ,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,NA                        ,NA                        ,515                            ,515                    ,NA                ,NA                           ,Assist                  ,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,NA                        ,NA                        ,540                            ,540                    ,NA                ,NA                           ,Apply                   ,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,720                       ,720                       ,630                            ,630                    ,630               ,630                          ,Enable                  ,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,809                       ,809                       ,720                            ,720                    ,720               ,720                          ,Ensure or advise        ,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,898                       ,898                       ,799                            ,799                    ,799               ,799                          ,Initiate or influence   ,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,1100                      ,1100                      ,995                            ,995                    ,995               ,995                          ,Set strategy or inspire ,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,NA                        ,NA                        ,300                            ,300                    ,NA                ,NA                           ,Follow                  ,InfosysLimited_604810866273288-sfia-rate-card-2022-05-18-1024                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,NA                        ,NA                        ,515                            ,515                    ,NA                ,NA                           ,Assist                  ,InfosysLimited_604810866273288-sfia-rate-card-2022-05-18-1024                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,NA                        ,NA                        ,540                            ,540                    ,NA                ,NA                           ,Apply                   ,InfosysLimited_604810866273288-sfia-rate-card-2022-05-18-1024                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,720                       ,720                       ,630                            ,630                    ,630               ,720                          ,Enable                  ,InfosysLimited_604810866273288-sfia-rate-card-2022-05-18-1024                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,809                       ,809                       ,720                            ,720                    ,720               ,809                          ,Ensure or advise        ,InfosysLimited_604810866273288-sfia-rate-card-2022-05-18-1024                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,828                       ,828                       ,792                            ,792                    ,792               ,828                          ,Initiate or influence   ,InfosysLimited_604810866273288-sfia-rate-card-2022-05-18-1024                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,1000                      ,1000                      ,880                            ,880                    ,880               ,1050                         ,Set strategy or inspire ,InfosysLimited_604810866273288-sfia-rate-card-2022-05-18-1024                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,645                       ,588                       ,538                            ,615                    ,672               ,672                          ,Follow                  ,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,645                       ,588                       ,538                            ,615                    ,672               ,672                          ,Assist                  ,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,645                       ,588                       ,538                            ,615                    ,672               ,672                          ,Apply                   ,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,645                       ,588                       ,538                            ,615                    ,672               ,672                          ,Enable                  ,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,645                       ,608                       ,591                            ,615                    ,672               ,672                          ,Ensure or advise        ,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,645                       ,672                       ,645                            ,615                    ,672               ,672                          ,Initiate or influence   ,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,840                       ,870                       ,705                            ,672                    ,800               ,800                          ,Set strategy or inspire ,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,NA                        ,NA                        ,300                            ,300                    ,NA                ,NA                           ,Follow                  ,InfosysLimited_647538840241035-sfia-rate-card-2022-05-18-1012                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,NA                        ,NA                        ,515                            ,515                    ,NA                ,NA                           ,Assist                  ,InfosysLimited_647538840241035-sfia-rate-card-2022-05-18-1012                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,NA                        ,NA                        ,540                            ,540                    ,NA                ,NA                           ,Apply                   ,InfosysLimited_647538840241035-sfia-rate-card-2022-05-18-1012                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,720                       ,720                       ,630                            ,630                    ,630               ,630                          ,Enable                  ,InfosysLimited_647538840241035-sfia-rate-card-2022-05-18-1012                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,809                       ,809                       ,720                            ,720                    ,720               ,720                          ,Ensure or advise        ,InfosysLimited_647538840241035-sfia-rate-card-2022-05-18-1012                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,898                       ,898                       ,799                            ,799                    ,799               ,799                          ,Initiate or influence   ,InfosysLimited_647538840241035-sfia-rate-card-2022-05-18-1012                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,1100                      ,1100                      ,995                            ,995                    ,995               ,995                          ,Set strategy or inspire ,InfosysLimited_647538840241035-sfia-rate-card-2022-05-18-1012                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,615                       ,576                       ,512                            ,614                    ,672               ,672                          ,Follow                  ,InfosysLimited_695978279682980-sfia-rate-card-2022-05-18-0803                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,615                       ,576                       ,512                            ,614                    ,672               ,672                          ,Assist                  ,InfosysLimited_695978279682980-sfia-rate-card-2022-05-18-0803                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,615                       ,576                       ,512                            ,614                    ,672               ,672                          ,Apply                   ,InfosysLimited_695978279682980-sfia-rate-card-2022-05-18-0803                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,615                       ,576                       ,512                            ,614                    ,672               ,672                          ,Enable                  ,InfosysLimited_695978279682980-sfia-rate-card-2022-05-18-0803                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,615                       ,608                       ,563                            ,614                    ,672               ,672                          ,Ensure or advise        ,InfosysLimited_695978279682980-sfia-rate-card-2022-05-18-0803                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,615                       ,672                       ,614                            ,614                    ,672               ,672                          ,Initiate or influence   ,InfosysLimited_695978279682980-sfia-rate-card-2022-05-18-0803                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,800                       ,870                       ,672                            ,800                    ,800               ,800                          ,Set strategy or inspire ,InfosysLimited_695978279682980-sfia-rate-card-2022-05-18-0803                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,732                       ,666                       ,519                            ,519                    ,666               ,666                          ,Follow                  ,InfosysLimited_716872809169992-sfia-rate-card-2022-05-17-1641                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,732                       ,666                       ,519                            ,519                    ,666               ,666                          ,Assist                  ,InfosysLimited_716872809169992-sfia-rate-card-2022-05-17-1641                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,732                       ,666                       ,519                            ,519                    ,666               ,666                          ,Apply                   ,InfosysLimited_716872809169992-sfia-rate-card-2022-05-17-1641                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,832                       ,732                       ,586                            ,586                    ,732               ,732                          ,Enable                  ,InfosysLimited_716872809169992-sfia-rate-card-2022-05-17-1641                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,999                       ,832                       ,732                            ,666                    ,832               ,832                          ,Ensure or advise        ,InfosysLimited_716872809169992-sfia-rate-card-2022-05-17-1641                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,1179                      ,999                       ,832                            ,732                    ,999               ,999                          ,Initiate or influence   ,InfosysLimited_716872809169992-sfia-rate-card-2022-05-17-1641                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,1332                      ,1179                      ,999                            ,832                    ,1179              ,1179                         ,Set strategy or inspire ,InfosysLimited_716872809169992-sfia-rate-card-2022-05-17-1641                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,457                       ,457                       ,457                            ,457                    ,457               ,457                          ,Follow                  ,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,482                       ,482                       ,482                            ,482                    ,482               ,482                          ,Assist                  ,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,507                       ,507                       ,507                            ,507                    ,507               ,507                          ,Apply                   ,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,558                       ,558                       ,558                            ,558                    ,558               ,558                          ,Enable                  ,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,863                       ,863                       ,660                            ,660                    ,660               ,660                          ,Ensure or advise        ,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,"1,035"                   ,"1,035"                   ,792                            ,792                    ,792               ,792                          ,Initiate or influence   ,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,"1,370"                   ,"1,370"                   ,914                            ,914                    ,914               ,914                          ,Set strategy or inspire ,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,500                       ,500                       ,500                            ,500                    ,500               ,500                          ,Follow                  ,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,500                       ,500                       ,500                            ,500                    ,500               ,500                          ,Assist                  ,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,500                       ,500                       ,500                            ,500                    ,500               ,500                          ,Apply                   ,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,518                       ,518                       ,518                            ,518                    ,500               ,500                          ,Enable                  ,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,548                       ,548                       ,548                            ,525                    ,518               ,518                          ,Ensure or advise        ,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,601                       ,601                       ,601                            ,545                    ,545               ,545                          ,Initiate or influence   ,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,601                       ,601                       ,833                            ,601                    ,601               ,601                          ,Set strategy or inspire ,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,157                       ,157                       ,157                            ,157                    ,157               ,157                          ,Follow                  ,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,157                       ,157                       ,157                            ,157                    ,157               ,157                          ,Assist                  ,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,157                       ,157                       ,157                            ,157                    ,157               ,157                          ,Apply                   ,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,186                       ,186                       ,186                            ,186                    ,157               ,157                          ,Enable                  ,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,213                       ,213                       ,213                            ,213                    ,186               ,186                          ,Ensure or advise        ,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709                ,-               ,-                                       ,-                  ,-                                  ,-
