,mc_bin_lower_bound,mc_bin_upper_bound,mc_frequencies,price_type
0,57.482708118745336,233.78088254395647,336.0,min
1,233.78088254395647,410.0790569691676,979.0,min
2,410.0790569691676,586.3772313943788,1541.0,min
3,586.3772313943788,762.6754058195899,1413.0,min
4,762.6754058195899,938.9735802448009,596.0,min
5,938.9735802448009,1115.2717546700123,119.0,min
6,1115.2717546700123,1291.5699290952234,16.0,min
7,50.21833517183859,707.2378068941582,261.0,max
8,707.2378068941582,1364.2572786164778,924.0,max
9,1364.2572786164778,2021.2767503387975,1716.0,max
10,2021.2767503387975,2678.296222061117,1376.0,max
11,2678.296222061117,3335.3156937834365,613.0,max
12,3335.3156937834365,3992.3351655057563,103.0,max
13,3992.3351655057563,4649.354637228076,7.0,max
14,51.45523941981264,594.6720231640104,518.0,rate_range
15,594.6720231640104,1137.8888069082082,1294.0,rate_range
16,1137.8888069082082,1681.105590652406,1581.0,rate_range
17,1681.105590652406,2224.3223743966037,1102.0,rate_range
18,2224.3223743966037,2767.539158140801,393.0,rate_range
19,2767.539158140801,3310.755941884999,100.0,rate_range
20,3310.755941884999,3853.972725629197,12.0,rate_rangea
