,level,strategy_and_architecture,change_and_transformation,development_and_implementation,delivery_and_operation,people_and_skills,relationships_and_engagement,level_name,rate_card_id
48,7,N/A,N/A,N/A,N/A,N/A,N/A,Set strategy or inspire,EdenMcCallumLLP_157234396828677-sfia-rate-card-2022-05-03-1126
49,1,N/A,N/A,N/A,N/A,N/A,N/A,Follow,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006
50,2,N/A,N/A,N/A,N/A,N/A,N/A,Assist,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006
51,3,600,600,600,600,600,600,Apply,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006
52,4,830,830,830,830,830,830,Enable,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006
53,5,975,975,975,975,975,975,Ensure or advise,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006
54,6,1275,1275,1275,1275,1275,1275,Initiate or influence,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006
55,7,1500,1500,1500,1500,1500,1500,Set strategy or inspire,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006
56,1,N/A,N/A,N/A,N/A,N/A,N/A,Follow,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004
57,2,N/A,N/A,N/A,N/A,N/A,N/A,Assist,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004
58,3,1000,N/A,1000,N/A,N/A,1000,Apply,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004
59,4,1000,N/A,1000,N/A,N/A,1000,Enable,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004
60,5,1000,N/A,1000,N/A,N/A,1000,Ensure or advise,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004
61,6,1275,N/A,1275,N/A,N/A,1275,Initiate or influence,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004
62,7,N/A,N/A,N/A,N/A,N/A,N/A,Set strategy or inspire,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004
63,1,N/A,N/A,N/A,N/A,N/A,N/A,Follow,InfosysLimited_110691768367566-sfia-rate-card-2022-05-18-1008
64,2,N/A,N/A,N/A,N/A,N/A,N/A,Assist,InfosysLimited_110691768367566-sfia-rate-card-2022-05-18-1008
65,3,N/A,N/A,N/A,N/A,N/A,N/A,Apply,InfosysLimited_110691768367566-sfia-rate-card-2022-05-18-1008
66,4,720,720,630,630,630,630,Enable,InfosysLimited_110691768367566-sfia-rate-card-2022-05-18-1008
67,5,809,809,720,720,720,720,Ensure or advise,InfosysLimited_110691768367566-sfia-rate-card-2022-05-18-1008
68,6,898,898,799,799,799,799,Initiate or influence,InfosysLimited_110691768367566-sfia-rate-card-2022-05-18-1008
69,7,1100,1100,995,995,995,995,Set strategy or inspire,InfosysLimited_110691768367566-sfia-rate-card-2022-05-18-1008
70,1,234,205,205,174,236,466,Follow,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908
71,2,234,205,205,205,236,466,Assist,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908
72,3,234,234,234,234,236,466,Apply,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908
73,4,289,289,289,289,236,466,Enable,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908
74,5,351,351,351,351,277,466,Ensure or advise,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908
75,6,351,351,351,351,277,466,Initiate or influence,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908
76,7,466,466,466,466,414,466,Set strategy or inspire,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908
77,1,732,666,519,519,666,666,Follow,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027
78,2,732,666,519,519,666,666,Assist,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027
79,3,732,666,519,519,666,666,Apply,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027
80,4,832,732,586,586,732,732,Enable,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027
81,5,999,832,732,666,832,832,Ensure or advise,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027
82,6,1179,999,832,732,999,999,Initiate or influence,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027
83,7,1332,1179,999,832,1179,1179,Set strategy or inspire,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027
84,1,369,369,369,369,369,369,Follow,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752
85,2,369,369,369,369,369,369,Assist,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752
86,3,502,502,502,502,502,502,Apply,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752
87,4,508,508,507,507,507,508,Enable,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752
88,5,490,490,508,508,508,490,Ensure or advise,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752
89,6,609,609,490,490,490,609,Initiate or influence,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752
90,7,1167,1167,609,609,609,1167,Set strategy or inspire,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752
91,1,207,207,145,160,180,198,Follow,InfosysLimited_209489231285623-sfia-rate-card-2022-05-17-1922
92,2,207,207,159,175,180,198,Assist,InfosysLimited_209489231285623-sfia-rate-card-2022-05-17-1922
93,3,207,207,180,198,180,198,Apply,InfosysLimited_209489231285623-sfia-rate-card-2022-05-17-1922
94,4,222,222,193,212,193,212,Enable,InfosysLimited_209489231285623-sfia-rate-card-2022-05-17-1922
95,5,278,278,242,266,242,266,Ensure or advise,InfosysLimited_209489231285623-sfia-rate-card-2022-05-17-1922
96,6,301,301,262,288,262,288,Initiate or influence,InfosysLimited_209489231285623-sfia-rate-card-2022-05-17-1922
97,7,343,343,298,328,298,328,Set strategy or inspire,InfosysLimited_209489231285623-sfia-rate-card-2022-05-17-1922
98,1,615,576,512,614,672,672,Follow,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801
99,2,615,576,512,614,672,672,Assist,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801
100,3,615,576,512,614,672,672,Apply,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801
101,4,615,576,512,614,672,672,Enable,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801
102,5,615,608,563,614,672,672,Ensure or advise,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801
103,6,615,672,614,614,672,672,Initiate or influence,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801
104,7,800,870,672,800,800,800,Set strategy or inspire,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801
105,1,207,207,145,160,180,198,Follow,InfosysLimited_255776948705856-sfia-rate-card-2022-05-17-1913
106,2,207,207,159,175,180,198,Assist,InfosysLimited_255776948705856-sfia-rate-card-2022-05-17-1913
107,3,207,207,180,198,180,198,Apply,InfosysLimited_255776948705856-sfia-rate-card-2022-05-17-1913
108,4,222,222,193,212,193,212,Enable,InfosysLimited_255776948705856-sfia-rate-card-2022-05-17-1913
109,5,278,278,242,266,242,266,Ensure or advise,InfosysLimited_255776948705856-sfia-rate-card-2022-05-17-1913
110,6,301,301,262,288,262,288,Initiate or influence,InfosysLimited_255776948705856-sfia-rate-card-2022-05-17-1913
111,7,343,343,298,328,298,328,Set strategy or inspire,InfosysLimited_255776948705856-sfia-rate-card-2022-05-17-1913
112,1,609,542,567,522,609,806,Follow,InfosysLimited_286419558794525-sfia-rate-card-2022-05-18-0953
113,2,609,542,567,522,609,806,Assist,InfosysLimited_286419558794525-sfia-rate-card-2022-05-18-0953
114,3,609,542,567,522,609,806,Apply,InfosysLimited_286419558794525-sfia-rate-card-2022-05-18-0953
115,4,609,542,567,522,609,806,Enable,InfosysLimited_286419558794525-sfia-rate-card-2022-05-18-0953
116,5,609,556,581,542,609,806,Ensure or advise,InfosysLimited_286419558794525-sfia-rate-card-2022-05-18-0953
117,6,609,583,609,583,609,806,Initiate or influence,InfosysLimited_286419558794525-sfia-rate-card-2022-05-18-0953
118,7,843,806,843,806,806,806,Set strategy or inspire,InfosysLimited_286419558794525-sfia-rate-card-2022-05-18-0953
119,1,513,513,513,513,513,513,Follow,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826
120,2,513,513,513,513,513,513,Assist,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826
121,3,513,513,513,513,513,513,Apply,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826
122,4,640,640,640,640,640,640,Enable,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826
123,5,689,689,689,689,689,689,Ensure or advise,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826
124,6,813,813,813,813,813,813,Initiate or influence,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826
125,7,995,995,995,995,995,995,Set strategy or inspire,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826
126,1,457,457,457,457,457,457,Follow,InfosysLimited_377511608980110-sfia-rate-card-2022-05-18-0921
127,2,482,482,482,482,482,482,Assist,InfosysLimited_377511608980110-sfia-rate-card-2022-05-18-0921
128,3,507,507,507,507,507,507,Apply,InfosysLimited_377511608980110-sfia-rate-card-2022-05-18-0921
129,4,558,558,558,558,558,558,Enable,InfosysLimited_377511608980110-sfia-rate-card-2022-05-18-0921
130,5,863,863,660,660,660,660,Ensure or advise,InfosysLimited_377511608980110-sfia-rate-card-2022-05-18-0921
131,6,1035,1035,792,792,792,792,Initiate or influence,InfosysLimited_377511608980110-sfia-rate-card-2022-05-18-0921
132,7,1370,1370,914,914,914,914,Set strategy or inspire,InfosysLimited_377511608980110-sfia-rate-card-2022-05-18-0921
133,1,513,513,513,513,513,513,Follow,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503
134,2,513,513,513,513,513,513,Assist,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503
135,3,513,513,513,513,513,513,Apply,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503
136,4,640,640,640,640,640,640,Enable,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503
137,5,689,689,689,689,689,689,Ensure or advise,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503
138,6,813,813,813,813,813,813,Initiate or influence,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503
139,7,1046,1046,1046,1046,1046,1046,Set strategy or inspire,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503
140,1,207,207,145,160,180,180,Follow,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930
141,2,207,207,159,175,180,180,Assist,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930
142,3,207,207,180,198,180,198,Apply,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930
143,4,222,222,193,212,193,212,Enable,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930
144,5,278,278,242,266,242,266,Ensure or advise,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930
145,6,301,301,262,288,262,288,Initiate or influence,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930
146,7,343,343,298,328,298,328,Set strategy or inspire,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930
147,1,N/A,N/A,N/A,N/A,N/A,N/A,Follow,InfosysLimited_604810866273288-sfia-rate-card-2022-05-18-1024
148,2,N/A,N/A,N/A,N/A,N/A,N/A,Assist,InfosysLimited_604810866273288-sfia-rate-card-2022-05-18-1024
149,3,N/A,N/A,N/A,N/A,N/A,N/A,Apply,InfosysLimited_604810866273288-sfia-rate-card-2022-05-18-1024
150,4,720,720,630,630,630,720,Enable,InfosysLimited_604810866273288-sfia-rate-card-2022-05-18-1024
151,5,809,809,720,720,720,809,Ensure or advise,InfosysLimited_604810866273288-sfia-rate-card-2022-05-18-1024
152,6,828,828,792,792,792,828,Initiate or influence,InfosysLimited_604810866273288-sfia-rate-card-2022-05-18-1024
153,7,1000,1000,880,880,880,1050,Set strategy or inspire,InfosysLimited_604810866273288-sfia-rate-card-2022-05-18-1024
154,1,645,588,538,615,672,672,Follow,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804
155,2,645,588,538,615,672,672,Assist,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804
156,3,645,588,538,615,672,672,Apply,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804
157,4,645,588,538,615,672,672,Enable,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804
158,5,645,608,591,615,672,672,Ensure or advise,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804
159,6,645,672,645,615,672,672,Initiate or influence,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804
160,7,840,870,705,672,800,800,Set strategy or inspire,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804
161,1,615,576,512,614,672,672,Follow,InfosysLimited_695978279682980-sfia-rate-card-2022-05-18-0803
162,2,615,576,512,614,672,672,Assist,InfosysLimited_695978279682980-sfia-rate-card-2022-05-18-0803
163,3,615,576,512,614,672,672,Apply,InfosysLimited_695978279682980-sfia-rate-card-2022-05-18-0803
164,4,615,576,512,614,672,672,Enable,InfosysLimited_695978279682980-sfia-rate-card-2022-05-18-0803
165,5,615,608,563,614,672,672,Ensure or advise,InfosysLimited_695978279682980-sfia-rate-card-2022-05-18-0803
166,6,615,672,614,614,672,672,Initiate or influence,InfosysLimited_695978279682980-sfia-rate-card-2022-05-18-0803
167,7,800,870,672,800,800,800,Set strategy or inspire,InfosysLimited_695978279682980-sfia-rate-card-2022-05-18-0803
168,1,157,157,157,157,157,157,Follow,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709
169,2,157,157,157,157,157,157,Assist,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709
170,3,157,157,157,157,157,157,Apply,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709
171,4,186,186,186,186,157,157,Enable,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709
172,5,213,213,213,213,186,186,Ensure or advise,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709
173,6,324,324,324,265,265,265,Initiate or influence,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709
174,7,434,434,432,324,324,324,Set strategy or inspire,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709
175,1,296,229,222,296,296,296,Follow,InfosysLimited_837074353320410-sfia-rate-card-2022-05-18-0804
176,2,296,229,222,296,296,296,Assist,InfosysLimited_837074353320410-sfia-rate-card-2022-05-18-0804
177,3,296,229,222,296,296,296,Apply,InfosysLimited_837074353320410-sfia-rate-card-2022-05-18-0804
178,4,296,229,222,296,296,296,Enable,InfosysLimited_837074353320410-sfia-rate-card-2022-05-18-0804
179,5,296,266,259,296,296,296,Ensure or advise,InfosysLimited_837074353320410-sfia-rate-card-2022-05-18-0804
180,6,296,296,295,296,296,296,Initiate or influence,InfosysLimited_837074353320410-sfia-rate-card-2022-05-18-0804
181,7,370,370,340,370,370,370,Set strategy or inspire,InfosysLimited_837074353320410-sfia-rate-card-2022-05-18-0804
182,1,690,690,690,690,690,690,Follow,KainosSoftwareLtd_202335625504646-sfia-rate-card-2022-05-16-1408
183,2,748,748,748,748,748,748,Assist,KainosSoftwareLtd_202335625504646-sfia-rate-card-2022-05-16-1408
184,3,799,799,799,799,799,799,Apply,KainosSoftwareLtd_202335625504646-sfia-rate-card-2022-05-16-1408
185,4,924,924,924,924,924,924,Enable,KainosSoftwareLtd_202335625504646-sfia-rate-card-2022-05-16-1408
186,5,1058,1058,1058,1058,1058,1058,Ensure or advise,KainosSoftwareLtd_202335625504646-sfia-rate-card-2022-05-16-1408
