,level,strategy_and_architecture,change_and_transformation,development_and_implementation,delivery_and_operation,people_and_skills,relationships_and_engagement,level_name,rate_card_id
221,5,1050,1050,1050,1050,1050,1050,Ensure or advise,PROJECTIVEGROUPUKLIMITED_274526200852025-sfia-rate-card-2022-03-31-1118
222,6,1300,1300,1300,1300,1300,1300,Initiate or influence,PROJECTIVEGROUPUKLIMITED_274526200852025-sfia-rate-card-2022-03-31-1118
223,7,1500,1500,1500,1500,1500,1500,Set strategy or inspire,PROJECTIVEGROUPUKLIMITED_274526200852025-sfia-rate-card-2022-03-31-1118
224,1,500,500,500,500,500,500,Follow,PROJECTONECONSULTINGLIMITED_142709484961484-sfia-rate-card-2022-04-13-1502
225,2,700,700,700,700,700,700,Assist,PROJECTONECONSULTINGLIMITED_142709484961484-sfia-rate-card-2022-04-13-1502
226,3,950,950,950,950,950,950,Apply,PROJECTONECONSULTINGLIMITED_142709484961484-sfia-rate-card-2022-04-13-1502
227,4,1250,1250,1250,1250,1250,1250,Enable,PROJECTONECONSULTINGLIMITED_142709484961484-sfia-rate-card-2022-04-13-1502
228,5,1500,1500,1500,1500,1500,1500,Ensure or advise,PROJECTONECONSULTINGLIMITED_142709484961484-sfia-rate-card-2022-04-13-1502
229,6,1700,1700,1700,1700,1700,1700,Initiate or influence,PROJECTONECONSULTINGLIMITED_142709484961484-sfia-rate-card-2022-04-13-1502
230,7,2100,2100,2100,2100,2100,2100,Set strategy or inspire,PROJECTONECONSULTINGLIMITED_142709484961484-sfia-rate-card-2022-04-13-1502
231,1,N/A,N/A,N/A,N/A,N/A,N/A,Follow,Ten10SolutionsLimited_538654099376375-sfia-rate-card-2022-05-16-1512
232,2,N/A,N/A,N/A,N/A,N/A,N/A,Assist,Ten10SolutionsLimited_538654099376375-sfia-rate-card-2022-05-16-1512
233,3,N/A,N/A,N/A,N/A,N/A,N/A,Apply,Ten10SolutionsLimited_538654099376375-sfia-rate-card-2022-05-16-1512
234,4,N/A,N/A,N/A,N/A,N/A,N/A,Enable,Ten10SolutionsLimited_538654099376375-sfia-rate-card-2022-05-16-1512
235,5,N/A,N/A,N/A,N/A,N/A,N/A,Ensure or advise,Ten10SolutionsLimited_538654099376375-sfia-rate-card-2022-05-16-1512
236,6,N/A,N/A,N/A,N/A,N/A,N/A,Initiate or influence,Ten10SolutionsLimited_538654099376375-sfia-rate-card-2022-05-16-1512
237,7,N/A,N/A,N/A,N/A,N/A,N/A,Set strategy or inspire,Ten10SolutionsLimited_538654099376375-sfia-rate-card-2022-05-16-1512
238,1,N/A,N/A,N/A,N/A,N/A,N/A,Follow,ThoughtworksLimited_253060284351485-sfia-rate-card-2022-05-11-1321
239,2,N/A,N/A,N/A,N/A,N/A,N/A,Assist,ThoughtworksLimited_253060284351485-sfia-rate-card-2022-05-11-1321
240,3,910,910,790,710,810,810,Apply,ThoughtworksLimited_253060284351485-sfia-rate-card-2022-05-11-1321
241,4,1200,1200,995,960,995,995,Enable,ThoughtworksLimited_253060284351485-sfia-rate-card-2022-05-11-1321
242,5,1500,1500,1250,1200,1200,1200,Ensure or advise,ThoughtworksLimited_253060284351485-sfia-rate-card-2022-05-11-1321
243,6,1850,1850,1590,1400,1500,1500,Initiate or influence,ThoughtworksLimited_253060284351485-sfia-rate-card-2022-05-11-1321
244,7,2400,2400,1925,1680,1850,1850,Set strategy or inspire,ThoughtworksLimited_253060284351485-sfia-rate-card-2022-05-11-1321
245,1,550,550,550,550,550,550,Follow,WavestoneAdvisorsUKLimited_105620557865013-sfia-rate-card-2022-05-12-1601
246,2,775,775,775,775,775,775, Assist,WavestoneAdvisorsUKLimited_105620557865013-sfia-rate-card-2022-05-12-1601
247,3,1050,1050,1050,1050,1050,1050, Apply,WavestoneAdvisorsUKLimited_105620557865013-sfia-rate-card-2022-05-12-1601
248,4,1275,1275,1275,1275,1275,1275, Enable,WavestoneAdvisorsUKLimited_105620557865013-sfia-rate-card-2022-05-12-1601
249,5,1550,1550,1550,1550,1550,1550, Ensure or advise,WavestoneAdvisorsUKLimited_105620557865013-sfia-rate-card-2022-05-12-1601
250,6,1700,1700,1700,1700,1700,1700, Initiate or influence,WavestoneAdvisorsUKLimited_105620557865013-sfia-rate-card-2022-05-12-1601
251,7,1950,1950,1950,1950,1950,1950, Set strategy or inspire,WavestoneAdvisorsUKLimited_105620557865013-sfia-rate-card-2022-05-12-1601
