,level,strategy_and_architecture,change_and_transformation,development_and_implementation,delivery_and_operation,people_and_skills,relationships_and_engagement,level_name,rate_card_id
20,7,1760,1760,1650,1325,1325,1325,Set strategy or inspire,BJSSLimited_793793704459949-sfia-rate-card-2022-05-16-1851
21,1,300,300,267,267,300,300,Follow,CapitaBusinessServicesLimited_123944138131915-sfia-rate-card-2022-05-13-1601
22,2,550,550,447,447,550,550,Assist,CapitaBusinessServicesLimited_123944138131915-sfia-rate-card-2022-05-13-1601
23,3,650,650,606,606,650,650,Apply,CapitaBusinessServicesLimited_123944138131915-sfia-rate-card-2022-05-13-1601
24,4,850,850,841,841,850,850,Enable,CapitaBusinessServicesLimited_123944138131915-sfia-rate-card-2022-05-13-1601
25,5,950,950,947,947,950,950,Ensure or advise,CapitaBusinessServicesLimited_123944138131915-sfia-rate-card-2022-05-13-1601
26,6,1400,1400,1107,1107,1400,1400,Initiate or influence,CapitaBusinessServicesLimited_123944138131915-sfia-rate-card-2022-05-13-1601
27,7,2000,2000,1447,1447,2000,2000,Set strategy or inspire,CapitaBusinessServicesLimited_123944138131915-sfia-rate-card-2022-05-13-1601
28,1,N/A,N/A,N/A,N/A,N/A,N/A,Follow,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006
29,2,N/A,N/A,N/A,N/A,300,300,Assist,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006
30,3,600,600,600,600,600,600,Apply,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006
31,4,830,830,830,830,830,830,Enable,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006
32,5,975,975,975,975,975,975,Ensure or advise,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006
33,6,1275,1275,1275,1275,1275,1275,Initiate or influence,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006
34,7,1500,1500,1500,1500,1500,1500,Set strategy or inspire,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006
35,1,N/A,N/A,N/A,N/A,N/A,N/A,Follow,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004
36,2,N/A,N/A,N/A,N/A,N/A,N/A,Assist,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004
37,3,1000,N/A,1000,N/A,N/A,1000,Apply,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004
38,4,1000,N/A,1000,N/A,N/A,1000,Enable,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004
39,5,1000,N/A,1000,N/A,N/A,1000,Ensure or advise,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004
40,6,1275,N/A,1275,N/A,N/A,1275,Initiate or influence,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004
41,7,N/A,N/A,N/A,N/A,N/A,N/A,Set strategy or inspire,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004
42,1,234,205,205,174,236,466,Follow,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908
43,2,234,205,205,205,236,466,Assist,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908
44,3,234,234,234,234,236,466,Apply,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908
45,4,289,289,289,289,236,466,Enable,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908
46,5,351,351,351,351,277,466,Ensure or advise,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908
47,6,351,351,351,351,277,466,Initiate or influence,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908
48,7,466,466,466,466,414,466,Set strategy or inspire,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908
49,8,488,487,487,487,506,810,Follow,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908
50,9,488,487,487,488,506,810,Assist,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908
51,1,488,488,488,489,506,810,Apply,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908
52,1,502,502,502,502,506,810,Enable,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908
53,1,586,586,586,586,564,810,Ensure or advise,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908
54,1,586,586,586,586,564,810,Initiate or influence,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908
55,1,810,810,810,810,718,810,Set strategy or inspire,InfosysLimited_115723089927657-sfia-rate-card-2022-05-18-0908
56,1,732,666,519,519,666,666,Follow,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027
57,2,732,666,519,519,666,666,Assist,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027
58,3,732,666,519,519,666,666,Apply,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027
59,4,832,732,586,586,732,732,Enable,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027
60,5,999,832,732,666,832,832,Ensure or advise,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027
61,6,1179,999,832,732,999,999,Initiate or influence,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027
62,7,1332,1179,999,832,1179,1179,Set strategy or inspire,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027
63,1,254,225,152,152,225,225,Follow,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027
64,2,254,225,167,167,225,225,Assist,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027
65,3,254,225,189,189,225,225,Apply,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027
66,4,276,254,203,203,254,254,Enable,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027
67,5,314,276,254,225,276,276,Ensure or advise,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027
68,6,373,314,276,254,314,314,Initiate or influence,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027
69,7,481,373,314,276,373,373,Set strategy or inspire,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027
70,1,369,369,369,369,369,369,Follow,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752
71,2,369,369,369,369,369,369,Assist,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752
72,3,502,502,502,502,502,502,Apply,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752
73,4,508,508,507,507,507,508,Enable,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752
74,5,490,490,508,508,508,490,Ensure or advise,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752
75,6,609,609,490,490,490,609,Initiate or influence,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752
76,7,1167,1167,609,609,609,1167,Set strategy or inspire,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752
77,8,142,142,142,142,142,142,Follow,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752
78,9,142,142,142,142,142,142,Assist,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752
79,1,160,160,160,160,160,160,Apply,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752
80,1,242,242,213,213,213,242,Enable,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752
81,1,297,297,242,242,242,297,Ensure or advise,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752
82,1,360,360,297,297,297,360,Initiate or influence,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752
83,1,562,562,360,360,360,562,Set strategy or inspire,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752
84,1,615,576,512,614,672,672,Follow,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801
85,2,615,576,512,614,672,672,Assist,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801
86,3,615,576,512,614,672,672,Apply,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801
87,4,615,576,512,614,672,672,Enable,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801
88,5,615,608,563,614,672,672,Ensure or advise,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801
89,6,615,672,614,614,672,672,Initiate or influence,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801
90,7,800,870,672,800,800,800,Set strategy or inspire,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801
91,8,254,218,197,254,254,254,Follow,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801
92,9,254,218,197,254,254,254,Assist,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801
93,1,254,218,197,254,254,254,Apply,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801
94,1,254,218,197,254,254,254,Enable,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801
95,1,254,254,211,254,254,254,Ensure or advise,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801
96,1,254,282,253,254,254,254,Initiate or influence,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801
97,1,295,352,268,296,296,296,Set strategy or inspire,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801
98,1,513,513,513,513,513,513,Follow,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826
99,2,513,513,513,513,513,513,Assist,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826
100,3,513,513,513,513,513,513,Apply,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826
101,4,640,640,640,640,640,640,Enable,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826
102,5,689,689,689,689,689,689,Ensure or advise,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826
103,6,813,813,813,813,813,813,Initiate or influence,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826
104,7,995,995,995,995,995,995,Set strategy or inspire,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826
105,8,194,194,194,194,194,194,Follow,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826
106,9,194,194,194,194,194,194,Assist,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826
107,1,202,202,202,202,202,202,Apply,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826
108,1,214,214,214,214,214,214,Enable,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826
109,1,261,261,261,261,261,261,Ensure or advise,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826
110,1,290,290,290,290,290,290,Initiate or influence,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826
111,1,315,315,315,315,315,315,Set strategy or inspire,InfosysLimited_315013905376039-sfia-rate-card-2022-05-18-0826
112,1,513,513,513,513,513,513,Follow,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503
113,2,513,513,513,513,513,513,Assist,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503
114,3,513,513,513,513,513,513,Apply,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503
115,4,640,640,640,640,640,640,Enable,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503
116,5,689,689,689,689,689,689,Ensure or advise,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503
117,6,813,813,813,813,813,813,Initiate or influence,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503
118,7,1046,1046,1046,1046,1046,1046,Set strategy or inspire,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503
119,8,202,202,202,202,202,202,Follow,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503
120,9,202,202,202,202,202,202,Assist,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503
121,1,202,202,202,202,202,202,Apply,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503
122,1,214,214,214,214,214,214,Enable,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503
123,1,261,261,261,261,261,261,Ensure or advise,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503
124,1,290,290,290,290,290,290,Initiate or influence,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503
125,1,342,342,342,342,342,342,Set strategy or inspire,InfosysLimited_381588520295788-sfia-rate-card-2022-05-17-1503
126,1,742,742,742,742,742,742,Follow,InfosysLimited_398970927248335-sfia-rate-card-2022-05-17-2026
127,2,800,800,800,800,800,800,Assist,InfosysLimited_398970927248335-sfia-rate-card-2022-05-17-2026
128,3,877,877,877,877,877,877,Apply,InfosysLimited_398970927248335-sfia-rate-card-2022-05-17-2026
129,4,877,877,877,877,877,877,Enable,InfosysLimited_398970927248335-sfia-rate-card-2022-05-17-2026
130,1,552,552,429,472,456,528,Follow,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930
131,2,552,552,445,490,456,528,Assist,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930
132,3,552,552,480,528,456,528,Apply,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930
133,4,604,604,525,578,499,578,Enable,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930
134,5,776,776,675,743,641,743,Ensure or advise,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930
135,6,874,874,760,836,722,836,Initiate or influence,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930
136,7,990,990,875,950,831,950,Set strategy or inspire,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930
137,1,207,207,145,160,180,180,Follow,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930
138,2,207,207,159,175,180,180,Assist,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930
139,3,207,207,180,198,180,198,Apply,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930
140,4,222,222,193,212,193,212,Enable,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930
141,5,278,278,242,266,242,266,Ensure or advise,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930
142,6,301,301,262,288,262,288,Initiate or influence,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930
143,7,343,343,298,328,298,328,Set strategy or inspire,InfosysLimited_459002458187282-sfia-rate-card-2022-05-17-1930
144,1,609,542,567,522,609,806,Follow,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001
145,2,609,542,567,522,609,806,Assist,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001
146,3,609,542,567,522,609,806,Apply,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001
147,4,609,542,567,522,609,806,Enable,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001
148,5,609,556,581,542,609,806,Ensure or advise,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001
149,6,609,583,609,583,609,806,Initiate or influence,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001
150,7,843,806,843,806,806,806,Set strategy or inspire,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001
151,8,234,197,205,197,224,244,Follow,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001
152,9,234,197,205,197,224,244,Assist,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001
153,1,234,197,205,197,224,244,Apply,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001
154,1,234,197,205,197,224,244,Enable,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001
155,1,234,210,220,210,224,244,Ensure or advise,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001
156,1,234,224,234,224,224,244,Initiate or influence,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001
157,1,255,244,255,244,244,244,Set strategy or inspire,InfosysLimited_507837019352981-sfia-rate-card-2022-05-18-1001
158,1,N/A,N/A,300,300,N/A,N/A,Follow,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006
159,2,N/A,N/A,515,515,N/A,N/A,Assist,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006
160,3,N/A,N/A,540,540,N/A,N/A,Apply,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006
161,4,720,720,630,630,630,630,Enable,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006
162,5,809,809,720,720,720,720,Ensure or advise,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006
163,6,898,898,799,799,799,799,Initiate or influence,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006
164,7,1100,1100,995,995,995,995,Set strategy or inspire,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006
165,1,N/A,N/A,200,N/A,N/A,N/A,Follow,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006
166,2,N/A,N/A,230,N/A,N/A,N/A,Assist,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006
167,3,N/A,N/A,230,N/A,N/A,N/A,Apply,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006
168,4,289,289,289,289,289,289,Enable,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006
169,5,309,309,309,309,309,309,Ensure or advise,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006
170,6,343,343,343,343,343,343,Initiate or influence,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006
171,7,450,450,450,450,450,450,Set strategy or inspire,InfosysLimited_564699933939537-sfia-rate-card-2022-05-18-1006
172,1,645,588,538,615,672,672,Follow,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804
173,2,645,588,538,615,672,672,Assist,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804
174,3,645,588,538,615,672,672,Apply,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804
175,4,645,588,538,615,672,672,Enable,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804
176,5,645,608,591,615,672,672,Ensure or advise,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804
177,6,645,672,645,615,672,672,Initiate or influence,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804
178,7,840,870,705,672,800,800,Set strategy or inspire,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804
179,8,279,218,197,254,254,254,Follow,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804
180,9,279,218,197,254,254,254,Assist,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804
181,1,279,218,197,254,254,254,Apply,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804
182,1,279,218,197,254,254,254,Enable,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804
183,1,279,255,232,254,254,254,Ensure or advise,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804
184,1,279,282,278,254,254,254,Initiate or influence,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804
185,1,325,352,294,295,295,295,Set strategy or inspire,InfosysLimited_629255858802080-sfia-rate-card-2022-05-18-0804
186,1,N/A,N/A,300,300,N/A,N/A,Follow,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023
187,2,N/A,N/A,515,515,N/A,N/A,Assist,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023
188,3,N/A,N/A,540,540,N/A,N/A,Apply,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023
189,4,720,720,630,630,630,720,Enable,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023
190,5,809,809,720,720,720,809,Ensure or advise,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023
191,6,828,828,792,792,792,828,Initiate or influence,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023
192,7,1000,1000,880,880,880,1050,Set strategy or inspire,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023
193,1,N/A,N/A,200,N/A,N/A,N/A,Follow,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023
194,2,N/A,N/A,230,N/A,N/A,N/A,Assist,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023
195,3,N/A,N/A,230,N/A,N/A,N/A,Apply,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023
196,4,289,289,289,289,289,289,Enable,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023
197,5,309,309,309,309,309,309,Ensure or advise,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023
198,6,343,343,343,343,343,343,Initiate or influence,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023
199,7,450,450,450,450,450,450,Set strategy or inspire,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023
200,1,457,457,457,457,457,457,Follow,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942
201,2,482,482,482,482,482,482,Assist,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942
202,3,507,507,507,507,507,507,Apply,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942
203,4,558,558,558,558,558,558,Enable,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942
204,5,863,863,660,660,660,660,Ensure or advise,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942
205,6,1035,1035,792,792,792,792,Initiate or influence,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942
206,7,1370,1370,914,914,914,914,Set strategy or inspire,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942
207,8,184,184,184,184,184,184,Follow,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942
208,9,205,205,205,205,205,205,Assist,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942
209,1,231,231,231,231,231,231,Apply,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942
210,1,500,500,500,500,500,500,Follow,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709
211,2,500,500,500,500,500,500,Assist,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709
212,3,500,500,500,500,500,500,Apply,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709
213,4,518,518,518,518,500,500,Enable,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709
214,5,548,548,548,525,518,518,Ensure or advise,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709
215,6,601,601,601,545,545,545,Initiate or influence,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709
216,7,601,601,833,601,601,601,Set strategy or inspire,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709
217,1,157,157,157,157,157,157,Follow,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709
218,2,157,157,157,157,157,157,Assist,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709
219,3,157,157,157,157,157,157,Apply,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709
220,4,186,186,186,186,157,157,Enable,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709
221,5,213,213,213,213,186,186,Ensure or advise,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709
222,6,324,324,324,265,265,265,Initiate or influence,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709
223,7,434,434,432,324,324,324,Set strategy or inspire,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709
224,1,110,110,110,110,110,110,Follow,InfosysLimited_845176013034556-sfia-rate-card-2022-05-17-1447
225,2,118,118,118,118,118,118,Assist,InfosysLimited_845176013034556-sfia-rate-card-2022-05-17-1447
226,3,135,135,135,135,135,135,Apply,InfosysLimited_845176013034556-sfia-rate-card-2022-05-17-1447
227,4,172,172,172,172,172,172,Enable,InfosysLimited_845176013034556-sfia-rate-card-2022-05-17-1447
228,5,214,214,214,214,214,214,Ensure or advise,InfosysLimited_845176013034556-sfia-rate-card-2022-05-17-1447
229,6,254,254,254,254,254,254,Initiate or influence,InfosysLimited_845176013034556-sfia-rate-card-2022-05-17-1447
230,7,324,324,324,324,324,324,Set strategy or inspire,InfosysLimited_845176013034556-sfia-rate-card-2022-05-17-1447
